product_id,product_name,category,price,in_stock
101,Product1,Home,3947.36,True
102,Product2,Beauty,1078.4,True
103,Product3,Electronics,2619.75,True
104,Product4,Home,3002.83,True
105,Product5,Home,327.61,True
106,Product6,Beauty,3076.97,False
107,Product7,Electronics,935.57,True
108,Product8,Electronics,418.75,True
109,Product9,Home,4749.54,True
110,Product10,Clothing,4831.6,True
111,Product11,Home,4061.15,True
112,Product12,Home,1592.61,True
113,Product13,Home,578.59,True
114,Product14,Home,3452.74,False
115,Product15,Beauty,2256.75,True
116,Product16,Electronics,697.99,True
117,Product17,Beauty,2526.37,True
118,Product18,Beauty,268.5,True
119,Product19,Beauty,4555.67,True
120,Product20,Home,1368.02,True
121,Product21,Clothing,3346.36,True
122,Product22,Electronics,1627.38,True
123,Product23,Clothing,2648.33,True
124,Product24,Beauty,2778.88,True
125,Product25,Beauty,1005.79,True
126,Product26,Clothing,4850.96,True
127,Product27,Clothing,3898.15,True
128,Product28,Clothing,4703.54,True
129,Product29,Beauty,4484.65,True
130,Product30,Beauty,3029.71,False
131,Product31,Electronics,4617.18,True
132,Product32,Electronics,533.61,True
133,Product33,Beauty,1060.32,True
134,Product34,Clothing,321.61,True
135,Product35,Clothing,1694.12,True
136,Product36,Electronics,2004.52,True
137,Product37,Beauty,1429.61,True
138,Product38,Electronics,4160.81,False
139,Product39,Electronics,1848.09,False
140,Product40,Home,1476.58,True
141,Product41,Home,2759.21,False
142,Product42,Home,790.53,False
143,Product43,Clothing,4030.77,True
144,Product44,Beauty,465.3,False
145,Product45,Beauty,4935.75,True
146,Product46,Beauty,3884.0,False
147,Product47,Beauty,1073.71,False
148,Product48,Home,127.06,True
149,Product49,Clothing,4095.76,True
150,Product50,Clothing,3563.6,True
